t/ms,(location 0 1),(location 1 0)
0.0,-80.0,-80.0
0.01,-80.01464232685953,-80.01464232685953
0.02,-80.02784223332331,-80.02784223332331
0.03,-80.04007014489233,-80.04007014489233
0.04,-80.05158001944866,-80.05158001944866
0.05,-80.06252782585331,-80.06252782585331
0.06,-80.07301622770223,-80.07301622770223
0.07,-80.08311622424212,-80.08311622424212
0.08,-80.0928790629358,-80.0928790629358
0.09,-80.10234325414682,-80.10234325414682
0.1,-80.11153886264826,-80.11153886264826
0.11,-80.12049019722,-80.12049019722
0.12,-80.12921752580996,-80.12921752580996
0.13,-80.13773818561673,-80.13773818561673
0.14,-80.146067312328,-80.146067312328
0.15,-80.15421832739456,-80.15421832739456
0.16,-80.16220327052329,-80.16220327052329
0.17,-80.17003303250867,-80.17003303250867
0.18,-80.17771752349046,-80.17771752349046
0.19,-80.18526579894241,-80.18526579894241
0.2,-80.19268615773062,-80.19268615773062
0.21,-80.19998622126307,-80.19998622126307
0.22,-80.2071729996282,-80.2071729996282
0.23,-80.21425294837155,-80.21425294837155
0.24,-80.22123201834178,-80.22123201834178
0.25,-80.22811570011774,-80.22811570011774
0.26,-80.2349090640431,-80.2349090640431
0.27,-80.24161679654482,-80.24161679654482
0.28,-80.24824323320111,-80.24824323320111
0.29,-80.25479238892562,-80.25479238892562
0.3,-80.261267985534,-80.261267985534
0.31,-80.26767347689605,-80.26767347689605
0.32,-80.2740120719317,-80.2740120719317
0.33,-80.28028675553331,-80.28028675553331
0.34,-80.28650030766053,-80.28650030766053
0.35000000000000003,-80.2926553207117,-80.2926553207117
0.36,-80.29875421532351,-80.29875421532351
0.37,-80.30479925473959,-80.30479925473959
0.38,-80.3107925578555,-80.3107925578555
0.39,-80.31673611107055,-80.31673611107055
0.4,-80.32263177905634,-80.32263177905634
0.41000000000000003,-80.32848131452542,-80.32848131452542
0.42,-80.33428636708997,-80.33428636708997
0.43,-80.34004849134116,-80.34004849134116
0.44,-80.345769154146,-80.345769154146
0.45,-80.35144974131848,-80.35144974131848
0.46,-80.35709156366018,-80.35709156366018
0.47000000000000003,-80.36269586247819,-80.36269586247819
0.48,-80.36826381459986,-80.36826381459986
0.49,-80.3737965369285,-80.3737965369285
0.5,-80.37929509064261,-80.37929509064261
0.51,-80.38476048499346,-80.38476048499346
0.52,-80.39019368079823,-80.39019368079823
0.53,-80.39559559361793,-80.39559559361793
0.54,-80.40096709670958,-80.40096709670958
0.55,-80.40630902368154,-80.40630902368154
0.56,-80.41162217098987,-80.41162217098987
0.5700000000000001,-80.41690730018533,-80.41690730018533
0.58,-80.42216514001784,-80.42216514001784
0.59,-80.4273963883663,-80.4273963883663
0.6,-80.43260171402258,-80.43260171402258
0.61,-80.43778175833675,-80.43778175833675
0.62,-80.44293713674303,-80.44293713674303
0.63,-80.44806844019287,-80.44806844019287
0.64,-80.453176236455,-80.453176236455
0.65,-80.45826107135255,-80.45826107135255
0.66,-80.46332346988633,-80.46332346988633
0.67,-80.46836393732158,-80.46836393732158
0.68,-80.4733829601679,-80.4733829601679
0.6900000000000001,-80.47838100710719,-80.47838100710719
0.7000000000000001,-80.48335852986509,-80.48335852986509
0.71,-80.48831596402661,-80.48831596402661
0.72,-80.49325372980054,-80.49325372980054
0.73,-80.49817223273448,-80.49817223273448
0.74,-80.50307186439193,-80.50307186439193
0.75,-80.50795300298617,-80.50795300298617
0.76,-80.51281601397575,-80.51281601397575
0.77,-80.51766125063568,-80.51766125063568
0.78,-80.5224890545836,-80.5224890545836
0.79,-80.527299756285,-80.527299756285
0.8,-80.5320936755308,-80.5320936755308
0.81,-80.5368711218934,-80.5368711218934
0.8200000000000001,-80.54163239514031,-80.54163239514031
0.8300000000000001,-80.54637778564397,-80.54637778564397
0.84,-80.55110757477686,-80.55110757477686
0.85,-80.5558220352592,-80.5558220352592
0.8500000238418579,-80.55582204648138,-80.55582204648138
0.8600000238418579,-80.56052144270514,-80.56052144270514
0.8700000238418579,-80.56520603115237,-80.56520603115237
0.8800000238418579,-80.56987606063349,-80.56987606063349
0.890000023841858,-80.57453177258768,-80.57453177258768
0.900000023841858,-80.57917340138215,-80.57917340138215
0.910000023841858,-80.58380117458721,-80.58380117458721
0.9200000238418579,-80.58841531322362,-80.58841531322362
0.9300000238418579,-80.59301603201732,-80.59301603201732
0.9400000238418579,-80.59760353963492,-80.59760353963492
0.9500000238418579,-80.60217803889655,-80.60217803889655
0.9600000238418579,-80.60673972700563,-80.60673972700563
0.9700000238418579,-80.61128879574473,-80.61128879574473
0.9800000238418579,-80.61582543167475,-80.61582543167475
0.9900000238418579,-80.62034981632455,-80.62034981632455
1.0000000238418578,-80.62486212636395,-80.62486212636395
1.0100000238418578,-80.62936253378386,-80.62936253378386
