,time,gid,lid,kind,population,type
0,1.0,15,0,2,bkg,100
1,1.25,15,0,2,bkg,100
2,1.5,15,0,2,bkg,100
3,2.5,15,0,2,bkg,100
4,2.75,15,0,2,bkg,100
5,3.5,15,0,2,bkg,100
6,4.5,15,0,2,bkg,100
7,4.75,15,0,2,bkg,100
8,5.5,15,0,2,bkg,100
9,6.75,15,0,2,bkg,100
10,7.499706237323024,1,0,0,v1,475622793
11,8.0,15,0,2,bkg,100
12,8.25,15,0,2,bkg,100
13,8.5,15,0,2,bkg,100
14,9.0,15,0,2,bkg,100
15,9.5,15,0,2,bkg,100
16,10.0,15,0,2,bkg,100
17,11.25,15,0,2,bkg,100
18,11.5,15,0,2,bkg,100
19,11.643869836999329,0,0,0,v1,478107198
20,11.75,15,0,2,bkg,100
21,14.098149842610578,1,0,0,v1,475622793
22,16.25,15,0,2,bkg,100
23,17.0,15,0,2,bkg,100
24,17.5,15,0,2,bkg,100
25,17.75,15,0,2,bkg,100
26,18.25,15,0,2,bkg,100
27,19.75,15,0,2,bkg,100
28,21.0,15,0,2,bkg,100
29,22.75,15,0,2,bkg,100
30,23.0,15,0,2,bkg,100
31,23.75,15,0,2,bkg,100
32,25.75,15,0,2,bkg,100
33,26.25,15,0,2,bkg,100
34,27.0,15,0,2,bkg,100
35,28.75,15,0,2,bkg,100
36,29.5,15,0,2,bkg,100
37,29.75,15,0,2,bkg,100
38,31.75,15,0,2,bkg,100
39,32.5,15,0,2,bkg,100
40,32.75,15,0,2,bkg,100
41,33.75,15,0,2,bkg,100
42,37.25,15,0,2,bkg,100
43,37.5,15,0,2,bkg,100
44,38.0,15,0,2,bkg,100
45,38.25,15,0,2,bkg,100
46,38.75,15,0,2,bkg,100
47,39.0,15,0,2,bkg,100
48,41.0,15,0,2,bkg,100
49,41.46785262237807,1,0,0,v1,475622793
50,41.5,15,0,2,bkg,100
51,41.5516980430133,0,0,0,v1,478107198
52,42.25,15,0,2,bkg,100
53,43.25,15,0,2,bkg,100
54,44.5,15,0,2,bkg,100
55,45.75,15,0,2,bkg,100
56,46.25,15,0,2,bkg,100
57,47.25,15,0,2,bkg,100
58,48.0,15,0,2,bkg,100
59,48.5,15,0,2,bkg,100
60,50.0,15,0,2,bkg,100
61,50.25,15,0,2,bkg,100
62,52.75,15,0,2,bkg,100
63,53.25,15,0,2,bkg,100
64,55.0,15,0,2,bkg,100
65,58.5,15,0,2,bkg,100
66,61.25,15,0,2,bkg,100
67,62.25,15,0,2,bkg,100
68,65.5,15,0,2,bkg,100
69,66.0,15,0,2,bkg,100
70,66.5,15,0,2,bkg,100
71,67.25,15,0,2,bkg,100
72,68.5,15,0,2,bkg,100
73,70.25,15,0,2,bkg,100
74,72.25,15,0,2,bkg,100
75,73.0,15,0,2,bkg,100
76,73.75,15,0,2,bkg,100
77,74.25,15,0,2,bkg,100
78,76.0,15,0,2,bkg,100
79,76.5,15,0,2,bkg,100
80,77.25,15,0,2,bkg,100
81,77.75,15,0,2,bkg,100
82,79.25,15,0,2,bkg,100
83,79.5,15,0,2,bkg,100
84,80.5,15,0,2,bkg,100
85,81.5,15,0,2,bkg,100
86,83.0,15,0,2,bkg,100
87,83.53689436495786,1,0,0,v1,475622793
88,86.25,15,0,2,bkg,100
89,88.25,15,0,2,bkg,100
90,89.0,15,0,2,bkg,100
91,89.25,15,0,2,bkg,100
92,89.75,15,0,2,bkg,100
93,90.5,15,0,2,bkg,100
94,91.25,15,0,2,bkg,100
95,91.5,15,0,2,bkg,100
96,92.25,15,0,2,bkg,100
97,93.25,15,0,2,bkg,100
98,94.26600654680053,0,0,0,v1,478107198
99,96.0,15,0,2,bkg,100
100,97.0,15,0,2,bkg,100
101,99.25,15,0,2,bkg,100
102,100.75,15,0,2,bkg,100
103,101.0,15,0,2,bkg,100
104,104.0,15,0,2,bkg,100
105,105.0,15,0,2,bkg,100
106,106.25,15,0,2,bkg,100
107,106.5,15,0,2,bkg,100
108,107.5,15,0,2,bkg,100
