,time,gid,lid,kind,population,type
0,502.0176309936055,7,0,0,v1,474267418
1,502.9715277878443,17,0,0,v1,476686112
2,505.37520274452345,95,0,0,v1,464198958
3,505.59641270743714,49,0,0,v1,474626527
4,506.82682587038784,8,0,0,v1,475622680
5,507.91731911337865,113,0,0,v1,476754635
6,508.8174391273713,77,0,0,v1,480116737
7,508.8573086291304,3,0,0,v1,327962063
8,508.93162110646,17,0,0,v1,476686112
9,509.1543007124404,16,0,0,v1,475068599
10,509.6259808388028,74,0,0,v1,473601979
11,509.983753400802,15,0,0,v1,473540161
12,510.7799250265601,110,0,0,v1,313862306
13,511.00472123683335,1,0,0,v1,478107198
14,511.39146662017356,0,0,0,v1,475585413
15,511.7976759119823,98,0,0,v1,482690728
16,512.3127484336711,94,0,0,v1,323475862
17,512.3754385704549,38,0,0,v1,314900022
18,512.5696648177689,49,0,0,v1,474626527
19,512.7641939265334,91,0,0,v1,471085676
20,513.1712726088425,8,0,0,v1,475622680
21,513.2705437328464,25,0,0,v1,476455864
22,513.4952775768071,81,0,0,v1,478110866
23,513.6858800312252,37,0,0,v1,486502127
24,514.223038845706,31,0,0,v1,476616076
25,514.8626211610572,17,0,0,v1,476686112
26,514.9551268664038,82,0,0,v1,481001895
27,514.9551268664038,104,0,0,v1,581001895
28,515.1755502354224,16,0,0,v1,475068599
29,515.1849753825055,52,0,0,v1,313862167
30,515.2661096039188,35,0,0,v1,484679812
31,515.4636183522784,46,0,0,v1,485909730
32,515.5787557315577,45,0,0,v1,483061182
33,515.8647716014441,95,0,0,v1,464198958
34,515.9655582864204,96,0,0,v1,475517090
35,516.2715482284958,110,0,0,v1,313862306
36,516.4150648542504,42,0,0,v1,476126528
37,516.6036693629353,24,0,0,v1,475459689
38,516.8790560132918,15,0,0,v1,473540161
39,516.8844823690803,97,0,0,v1,478396248
40,517.3914643143011,3,0,0,v1,327962063
41,517.5221880808932,27,0,0,v1,314642645
42,517.6050072831101,113,0,0,v1,476754635
43,519.415625861351,49,0,0,v1,474626527
44,519.6293382316909,44,0,0,v1,477135941
45,520.1292993313341,29,0,0,v1,329550137
46,520.1513193168807,74,0,0,v1,473601979
47,520.2256765555604,79,0,0,v1,480351780
48,520.4394105635198,32,0,0,v1,479179020
49,520.5518558643479,88,0,0,v1,396608557
