Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): 85.15596856832099,658.9724564921551,175.4431437897491 vs. <arbor.mpoint: x 85.156, y 658.972, z 175.443, radius 6.0066>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -196.57264333548073,720.95912233146,239.1171854411045 vs. <arbor.mpoint: x -196.573, y 720.959, z 239.117, radius 6.5695>
Placing synapse Exp2Syn at (location 0 0.5): -82.58756570087667,644.5014285934492,359.94812911185494 vs. <arbor.mpoint: x -82.5876, y 644.501, z 359.948, radius 5.7994>
Placing synapse Exp2Syn at (location 0 0.5): -82.58756570087667,644.5014285934492,359.94812911185494 vs. <arbor.mpoint: x -82.5876, y 644.501, z 359.948, radius 5.7994>
Placing synapse Exp2Syn at (location 0 0.5): -82.58756570087667,644.5014285934492,359.94812911185494 vs. <arbor.mpoint: x -82.5876, y 644.501, z 359.948, radius 5.7994>
Placing synapse Exp2Syn at (location 0 0.5): -82.58756570087667,644.5014285934492,359.94812911185494 vs. <arbor.mpoint: x -82.5876, y 644.501, z 359.948, radius 5.7994>
Placing synapse Exp2Syn at (location 0 0.5): -82.58756570087667,644.5014285934492,359.94812911185494 vs. <arbor.mpoint: x -82.5876, y 644.501, z 359.948, radius 5.7994>
Placing synapse Exp2Syn at (location 0 0.5): -82.58756570087667,644.5014285934492,359.94812911185494 vs. <arbor.mpoint: x -82.5876, y 644.501, z 359.948, radius 5.7994>
Placing synapse Exp2Syn at (location 0 0.5): -82.58756570087667,644.5014285934492,359.94812911185494 vs. <arbor.mpoint: x -82.5876, y 644.501, z 359.948, radius 5.7994>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): 73.36845105221357,599.2053376432434,285.9494819262738 vs. <arbor.mpoint: x 73.3685, y 599.205, z 285.949, radius 7.263>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
Placing synapse Exp2Syn at (location 0 0.5): -14.998523064748838,558.0052823277312,-317.182666547212 vs. <arbor.mpoint: x -14.9985, y 558.005, z -317.183, radius 7.3573>
