node_id,stimulus_type,delta_error
0,Syn Inputs,0.0005783251598280118
0,iClamp,0.007172324956305093
1,Syn Inputs,0.0012005930091886841
1,iClamp,0.0027630907980993797
2,Syn Inputs,2.381311578083542e-10
2,iClamp,0.0012683664822117845
3,Syn Inputs,0.006079219774246163
3,iClamp,0.08426913847835994
4,Syn Inputs,3.928698408109559e-09
4,iClamp,0.009395851018180693
5,Syn Inputs,6.821043339793042e-07
5,iClamp,0.007599141390312231
6,Syn Inputs,0.0006167469263628382
6,iClamp,0.0022158715042792177
7,Syn Inputs,1.1914470543430352e-08
7,iClamp,8.159213538686147e-05
8,Syn Inputs,2.143418454664944e-09
8,iClamp,0.0006852388626208471
9,Syn Inputs,0.00022087316822237053
9,iClamp,0.00024806655237883323
10,Syn Inputs,1.1990757098626285e-06
10,iClamp,0.005943940743758857
11,Syn Inputs,5.6727966361310696e-05
11,iClamp,4.334841037298916e-09
12,Syn Inputs,8.757482360533927e-06
12,iClamp,0.0001370409535076811
13,Syn Inputs,6.742231660409994e-07
13,iClamp,5.20742014830187e-09
14,Syn Inputs,4.363077677709347e-05
14,iClamp,0.0005955914568790677
15,Syn Inputs,2.387262677795087e-09
15,iClamp,0.0024326705781409974
16,Syn Inputs,6.976933161320424e-08
16,iClamp,0.02130660555780642
17,Syn Inputs,1.627963791606684e-08
17,iClamp,0.0009800778841916795
18,Syn Inputs,0.00015922027176260687
18,iClamp,0.025448313464755463
19,Syn Inputs,2.6687482131471188e-05
19,iClamp,0.004859549808446501
20,Syn Inputs,6.86546555731624e-09
20,iClamp,0.005285058356048857
21,Syn Inputs,0.00036958145546037147
21,iClamp,0.051533061896610326
22,Syn Inputs,0.0011535067493901694
22,iClamp,0.0022790564405205708
23,Syn Inputs,7.773647861550104e-06
23,iClamp,0.0033764393538591184
24,Syn Inputs,8.559526378072258e-06
24,iClamp,0.0010567622743595385
25,Syn Inputs,1.900717080469118e-05
25,iClamp,0.001007290899478904
26,Syn Inputs,0.0034921523544939317
26,iClamp,0.010229253633550442
27,Syn Inputs,1.4996023019531033e-05
27,iClamp,0.02652762347986033
28,Syn Inputs,4.957891665385822e-06
28,iClamp,0.0032535233008040986
29,Syn Inputs,4.488202211950131e-09
29,iClamp,0.00941121272906013
30,Syn Inputs,2.842144222817856e-06
30,iClamp,0.00045257880950734633
31,Syn Inputs,3.5939259551203164e-09
31,iClamp,2.5445638774356483e-05
32,Syn Inputs,3.590789148404302e-05
32,iClamp,0.02491343640763969
33,Syn Inputs,2.1577781278425073e-05
33,iClamp,0.005939824405151005
34,Syn Inputs,0.00012970571986953142
34,iClamp,0.0014928327523647336
35,Syn Inputs,5.1278592419995954e-09
35,iClamp,0.0158971128426123
36,Syn Inputs,4.3549948046682895e-06
36,iClamp,0.0019032548829313605
37,Syn Inputs,6.574219318824279e-07
37,iClamp,0.010990559835018133
38,Syn Inputs,8.953807740749789e-05
38,iClamp,0.0009186083000307805
39,Syn Inputs,7.966368178949495e-05
39,iClamp,0.042045949551440094
40,Syn Inputs,0.000369927669892783
40,iClamp,0.0009427684931073583
41,Syn Inputs,0.0011964491498848064
41,iClamp,0.0019280344470443888
42,Syn Inputs,1.0525117991325281e-05
42,iClamp,0.009047510654456671
43,Syn Inputs,9.645092160131549e-07
43,iClamp,0.00058618938199164
44,Syn Inputs,0.00037213557912384263
44,iClamp,0.10851638764995947
45,Syn Inputs,0.00010139133859111542
45,iClamp,0.002581436822274154
46,Syn Inputs,0.0002628533638319484
46,iClamp,0.0031896517509932324
47,Syn Inputs,7.066180524651252e-07
47,iClamp,0.001447390770516814
48,Syn Inputs,0.00012779967763581573
48,iClamp,0.009232528714012386
49,Syn Inputs,4.484209286234238e-08
49,iClamp,0.0037178168487617285
50,Syn Inputs,1.3685708411450649e-06
50,iClamp,0.000992230552079401
51,Syn Inputs,0.00030105351622699883
51,iClamp,0.0007348755130140993
52,Syn Inputs,0.00014596204740789748
52,iClamp,0.0048545824114980774
53,Syn Inputs,7.324919453044139e-08
53,iClamp,0.0005737997368402069
54,Syn Inputs,3.9641866682911875e-09
54,iClamp,0.0004963820638561131
55,Syn Inputs,8.168304224298607e-06
55,iClamp,0.0011112096676723433
56,Syn Inputs,4.855626841822053e-09
56,iClamp,0.0005553411078843062
57,Syn Inputs,7.384877528745168e-10
57,iClamp,0.0001500570397785641
58,Syn Inputs,1.5182705949457595e-09
58,iClamp,0.00011526364940995548
59,Syn Inputs,2.4515278653168416e-09
59,iClamp,1.4953531281788071e-05
60,Syn Inputs,1.5028959566904526e-05
60,iClamp,0.009584423800310448
61,Syn Inputs,3.2425912070864676e-08
61,iClamp,0.029392461379526863
62,Syn Inputs,4.9038380889579305e-09
62,iClamp,0.0018742452877627512
63,Syn Inputs,0.00022914872896084913
63,iClamp,0.02638284265713704
64,Syn Inputs,4.15231455437257e-09
64,iClamp,0.002726142237787208
65,Syn Inputs,6.1655567251049376e-06
65,iClamp,0.0005490139318547435
66,Syn Inputs,4.106744254642954e-09
66,iClamp,0.0015421896425539636
67,Syn Inputs,2.9177457260901575e-09
67,iClamp,0.022250293958633354
68,Syn Inputs,0.00012181012302455518
68,iClamp,0.003961779023388045
69,Syn Inputs,1.0089246033913964e-08
69,iClamp,0.005547178434583624
70,Syn Inputs,2.3966079284030405e-05
70,iClamp,0.0015086840184277855
71,Syn Inputs,1.9895403820228207e-06
71,iClamp,0.008984593783877759
72,Syn Inputs,6.364274325681844e-06
72,iClamp,0.002136836902018391
73,Syn Inputs,0.00014656074147674736
73,iClamp,0.0033799327920143113
74,Syn Inputs,0.0008533993490839996
74,iClamp,0.011083626124958846
75,Syn Inputs,1.0317237634085557e-09
75,iClamp,0.001363789610187793
76,Syn Inputs,4.1617013569700734e-05
76,iClamp,0.001027978498640873
77,Syn Inputs,0.00066610230901346
77,iClamp,0.04974083421070025
78,Syn Inputs,6.066573503903147e-09
78,iClamp,0.00850082724429321
79,Syn Inputs,9.20403107068865e-05
79,iClamp,0.0013405423177677003
80,Syn Inputs,2.3350872013289283e-05
80,iClamp,4.6401767860982363e-05
81,Syn Inputs,8.496162205667798e-10
81,iClamp,0.0013488081412068864
82,Syn Inputs,2.026395586469376e-11
82,iClamp,0.000981100028107515
83,Syn Inputs,4.086963651886539e-09
83,iClamp,0.002196296990074487
84,Syn Inputs,1.0929269940353139e-09
84,iClamp,0.0013908397764363838
85,Syn Inputs,5.877392968747828e-05
85,iClamp,0.000949489600201235
86,Syn Inputs,8.134914430890904e-06
86,iClamp,0.0031271446644129874
87,Syn Inputs,5.04176625847207e-07
87,iClamp,1.3120804845174255e-08
88,Syn Inputs,0.0002677968848701901
88,iClamp,0.00017958427320954724
89,Syn Inputs,8.227141864042133e-06
89,iClamp,0.00027153368106802356
90,Syn Inputs,1.502658715603511e-06
90,iClamp,0.00537111796550581
91,Syn Inputs,6.455209691674771e-05
91,iClamp,0.0003355326530552854
92,Syn Inputs,0.00029122582476751925
92,iClamp,0.0034262745876771136
93,Syn Inputs,9.599721657526796e-05
93,iClamp,0.002690633965361636
94,Syn Inputs,9.150623064165964e-10
94,iClamp,0.0020178715718495925
95,Syn Inputs,3.638095425502316e-09
95,iClamp,0.16625023543581902
96,Syn Inputs,4.924963036492809e-10
96,iClamp,0.007696390241533445
97,Syn Inputs,4.965062898626114e-10
97,iClamp,0.003520794990438844
98,Syn Inputs,2.382057626634747e-10
98,iClamp,0.0052147654340667345
99,Syn Inputs,6.904234525106493e-11
99,iClamp,1.8273715327602815e-05
100,Syn Inputs,4.733323811960079e-09
100,iClamp,0.004727474999451088
101,Syn Inputs,2.320939602346391e-09
101,iClamp,0.0037916069466091377
102,Syn Inputs,6.721255604620011e-09
102,iClamp,0.0004721517438443679
103,Syn Inputs,3.268252383661331e-09
103,iClamp,0.0014748945445136222
104,Syn Inputs,6.820498016119351e-12
104,iClamp,0.000981100028107515
105,Syn Inputs,1.9508966302014646e-10
105,iClamp,0.002196296990074487
106,Syn Inputs,5.277490263201657e-08
106,iClamp,0.0002990703188412437
107,Syn Inputs,1.2393298657028442e-06
107,iClamp,0.006358708222038453
108,Syn Inputs,1.6510944889675902e-06
108,iClamp,0.024813173843785983
109,Syn Inputs,1.9203130478106597e-08
109,iClamp,0.00022986641648966232
110,Syn Inputs,2.7502666738904113e-09
110,iClamp,0.0015212191324203124
111,Syn Inputs,5.71768919646285e-09
111,iClamp,0.0012006610041508277
112,Syn Inputs,1.4110403567935897e-09
112,iClamp,0.012088646557438156
113,Syn Inputs,1.8366307980076123e-10
113,iClamp,0.0017603718050631918
