node_id,stimulus_type,delta_error
0,Syn Inputs,0.009938928263407837
0,iClamp,0.007172324956305093
1,Syn Inputs,0.02569528257413886
1,iClamp,0.0027630907980993797
2,Syn Inputs,0.005158169434100361
2,iClamp,0.0012683664822117845
3,Syn Inputs,0.025236345321080555
3,iClamp,0.08426913847835994
4,Syn Inputs,0.00011868678213216257
4,iClamp,0.009395851018180693
5,Syn Inputs,2.8747751712168157e-05
5,iClamp,0.007599141390312231
6,Syn Inputs,0.007909634112398816
6,iClamp,0.0022158715042792177
7,Syn Inputs,7.433578735722635e-05
7,iClamp,8.159213538686147e-05
8,Syn Inputs,2.6689198554663706e-05
8,iClamp,0.0006852388626208471
9,Syn Inputs,0.0019884388253213667
9,iClamp,0.00024806655237883323
10,Syn Inputs,4.713201081848028e-06
10,iClamp,0.005943940743758857
11,Syn Inputs,0.0011198754787553682
11,iClamp,4.334841037298916e-09
12,Syn Inputs,6.339143930030271e-06
12,iClamp,0.0001370409535076811
13,Syn Inputs,0.0003124312273288986
13,iClamp,5.20742014830187e-09
14,Syn Inputs,0.006380606722239595
14,iClamp,0.0005955914568790677
15,Syn Inputs,3.4354180975560924e-06
15,iClamp,0.0024326705781409974
16,Syn Inputs,3.818672014746349e-05
16,iClamp,0.02130660555780642
17,Syn Inputs,6.9348074366780545e-06
17,iClamp,0.0009800778841916795
18,Syn Inputs,9.109703743241958e-05
18,iClamp,0.025448313464755463
19,Syn Inputs,0.0004615311619435842
19,iClamp,0.004859549808446501
20,Syn Inputs,0.0008841092998616672
20,iClamp,0.005285058356048857
21,Syn Inputs,0.004589286118158648
21,iClamp,0.051533061896610326
22,Syn Inputs,0.01053205533709314
22,iClamp,0.0022790564405205708
23,Syn Inputs,0.001183299922145329
23,iClamp,0.0033764393538591184
24,Syn Inputs,0.003248432683410383
24,iClamp,0.0010567622743595385
25,Syn Inputs,0.0006529300471741399
25,iClamp,0.001007290899478904
26,Syn Inputs,0.012006034259323325
26,iClamp,0.010229253633550442
27,Syn Inputs,0.0013617117660017248
27,iClamp,0.02652762347986033
28,Syn Inputs,0.0010930900436282843
28,iClamp,0.0032535233008040986
29,Syn Inputs,5.674850069389539e-05
29,iClamp,0.00941121272906013
30,Syn Inputs,0.0006878561535626588
30,iClamp,0.00045257880950734633
31,Syn Inputs,0.000764398526034632
31,iClamp,2.5445638774356483e-05
32,Syn Inputs,0.005339008964211904
32,iClamp,0.02491343640763969
