timestamps population node_ids
1.0 lgn 0
2.0 lgn 0
3.25 lgn 0
5.5 lgn 0
9.25 lgn 0
10.0 lgn 0
11.0 lgn 0
11.25 lgn 0
12.5 lgn 0
13.25 lgn 0
15.75 lgn 0
18.25 lgn 0
18.75 lgn 0
19.0 lgn 0
21.5 lgn 0
22.5 lgn 0
22.75 lgn 0
24.0 lgn 0
24.75 lgn 0
26.0 lgn 0
26.25 lgn 0
26.5 lgn 0
27.5 lgn 0
28.0 lgn 0
28.25 lgn 0
28.75 lgn 0
29.0 lgn 0
30.0 lgn 0
31.25 lgn 0
32.5 lgn 0
33.5 lgn 0
33.75 lgn 0
36.0 lgn 0
38.75 lgn 0
41.25 lgn 0
41.75 lgn 0
43.25 lgn 0
44.0 lgn 0
44.75 lgn 0
45.5 lgn 0
45.75 lgn 0
47.0 lgn 0
48.5 lgn 0
49.25 lgn 0
50.25 lgn 0
51.25 lgn 0
52.5 lgn 0
53.0 lgn 0
53.25 lgn 0
55.5 lgn 0
56.25 lgn 0
59.75 lgn 0
62.0 lgn 0
62.25 lgn 0
62.75 lgn 0
64.25 lgn 0
64.75 lgn 0
65.0 lgn 0
65.75 lgn 0
69.5 lgn 0
70.0 lgn 0
70.5 lgn 0
70.75 lgn 0
71.5 lgn 0
71.75 lgn 0
72.5 lgn 0
73.0 lgn 0
75.25 lgn 0
75.75 lgn 0
77.25 lgn 0
77.75 lgn 0
79.5 lgn 0
80.0 lgn 0
81.5 lgn 0
81.75 lgn 0
82.0 lgn 0
83.75 lgn 0
84.25 lgn 0
84.75 lgn 0
88.0 lgn 0
88.5 lgn 0
90.5 lgn 0
91.5 lgn 0
91.75 lgn 0
92.0 lgn 0
92.5 lgn 0
95.25 lgn 0
95.5 lgn 0
96.0 lgn 0
97.75 lgn 0
102.25 lgn 0
102.5 lgn 0
102.75 lgn 0
104.0 lgn 0
104.75 lgn 0
105.5 lgn 0
106.0 lgn 0
106.5 lgn 0
107.5 lgn 0
109.25 lgn 0
109.5 lgn 0
110.5 lgn 0
111.25 lgn 0
113.5 lgn 0
114.25 lgn 0
115.0 lgn 0
115.25 lgn 0
