edge_type_id target_query source_query dynamics_params delay model_template
142 node_type_id=='471129934' pop_name=='e5Rbp4' AMPA_ExcToExc.json 1.5 exp2syn
143 node_type_id=='471143169' pop_name=='e5Rbp4' AMPA_ExcToExc.json 1.5 exp2syn
144 node_type_id=='471758398' pop_name=='e5Rbp4' AMPA_ExcToExc.json 1.5 exp2syn
145 node_type_id=='471767045' pop_name=='e5Rbp4' AMPA_ExcToExc.json 1.5 exp2syn
146 node_type_id=='485574832' pop_name=='e5Rbp4' AMPA_ExcToExc.json 1.5 exp2syn
147 node_type_id=='485835055' pop_name=='e5Rbp4' AMPA_ExcToExc.json 1.5 exp2syn
148 node_type_id=='485880739' pop_name=='e5Rbp4' AMPA_ExcToExc.json 1.5 exp2syn
149 node_type_id=='486052980' pop_name=='e5Rbp4' AMPA_ExcToExc.json 1.5 exp2syn
150 node_type_id=='486110216' pop_name=='e5Rbp4' AMPA_ExcToExc.json 1.5 exp2syn
151 node_type_id=='487664663' pop_name=='e5Rbp4' AMPA_ExcToExc.json 1.5 exp2syn
152 node_type_id=='471129934' pop_name=='e23Cux2' AMPA_ExcToExc.json 1.8 exp2syn
153 node_type_id=='471143169' pop_name=='e23Cux2' AMPA_ExcToExc.json 1.8 exp2syn
154 node_type_id=='471758398' pop_name=='e23Cux2' AMPA_ExcToExc.json 1.8 exp2syn
155 node_type_id=='471767045' pop_name=='e23Cux2' AMPA_ExcToExc.json 1.8 exp2syn
156 node_type_id=='485574832' pop_name=='e23Cux2' AMPA_ExcToExc.json 1.8 exp2syn
157 node_type_id=='485835055' pop_name=='e23Cux2' AMPA_ExcToExc.json 1.8 exp2syn
158 node_type_id=='485880739' pop_name=='e23Cux2' AMPA_ExcToExc.json 1.8 exp2syn
159 node_type_id=='486052980' pop_name=='e23Cux2' AMPA_ExcToExc.json 1.8 exp2syn
160 node_type_id=='486110216' pop_name=='e23Cux2' AMPA_ExcToExc.json 1.8 exp2syn
161 node_type_id=='487664663' pop_name=='e23Cux2' AMPA_ExcToExc.json 1.8 exp2syn
162 node_type_id=='471129934' pop_name=='i6Pvalb' GABA_InhToExc.json 0.9 exp2syn
163 node_type_id=='471143169' pop_name=='i6Pvalb' GABA_InhToExc.json 0.9 exp2syn
164 node_type_id=='471758398' pop_name=='i6Pvalb' GABA_InhToExc.json 0.9 exp2syn
165 node_type_id=='471767045' pop_name=='i6Pvalb' GABA_InhToExc.json 0.9 exp2syn
166 node_type_id=='485574832' pop_name=='i6Pvalb' GABA_InhToExc.json 0.9 exp2syn
167 node_type_id=='485835055' pop_name=='i6Pvalb' GABA_InhToExc.json 0.9 exp2syn
168 node_type_id=='485880739' pop_name=='i6Pvalb' GABA_InhToExc.json 0.9 exp2syn
169 node_type_id=='486052980' pop_name=='i6Pvalb' GABA_InhToExc.json 0.9 exp2syn
170 node_type_id=='486110216' pop_name=='i6Pvalb' GABA_InhToExc.json 0.9 exp2syn
