edge_type_id target_query source_query model_template delay dynamics_params
100 node_type_id=='471129934' * exp2syn 1.7 AMPA_ExcToExc.json
101 node_type_id=='471143169' * exp2syn 1.7 AMPA_ExcToExc.json
102 node_type_id=='471758398' * exp2syn 1.7 AMPA_ExcToExc.json
103 node_type_id=='471767045' * exp2syn 1.7 AMPA_ExcToExc.json
104 node_type_id=='485574832' * exp2syn 1.7 AMPA_ExcToExc.json
105 node_type_id=='485835055' * exp2syn 1.7 AMPA_ExcToExc.json
106 node_type_id=='485880739' * exp2syn 1.7 AMPA_ExcToExc.json
107 node_type_id=='486052980' * exp2syn 1.7 AMPA_ExcToExc.json
108 node_type_id=='486110216' * exp2syn 1.7 AMPA_ExcToExc.json
109 node_type_id=='487664663' * exp2syn 1.7 AMPA_ExcToExc.json
110 node_type_id=='485912047' * exp2syn 1.7 AMPA_ExcToExc.json
111 node_type_id=='487661754' * exp2syn 1.7 AMPA_ExcToExc.json
112 node_type_id=='321708130' * exp2syn 1.7 AMPA_ExcToInh.json
113 node_type_id=='466245544' * exp2syn 1.7 AMPA_ExcToInh.json
114 node_type_id=='471087830' * exp2syn 1.7 AMPA_ExcToInh.json
115 node_type_id=='475888653' * exp2syn 1.7 AMPA_ExcToInh.json
116 node_type_id=='478058328' * exp2syn 1.7 AMPA_ExcToInh.json
117 node_type_id=='478828646' * exp2syn 1.7 AMPA_ExcToInh.json
118 node_type_id=='313862022' * exp2syn 1.7 AMPA_ExcToExc.json
119 node_type_id=='314900022' * exp2syn 1.7 AMPA_ExcToExc.json
120 node_type_id=='320668879' * exp2syn 1.7 AMPA_ExcToExc.json
121 node_type_id=='324521027' * exp2syn 1.7 AMPA_ExcToExc.json
122 node_type_id=='348592897' * exp2syn 1.7 AMPA_ExcToExc.json
123 node_type_id=='395830185' * exp2syn 1.7 AMPA_ExcToExc.json
124 node_type_id=='469798159' * exp2syn 1.7 AMPA_ExcToExc.json
125 node_type_id=='476126528' * exp2syn 1.7 AMPA_ExcToExc.json
126 node_type_id=='476218657' * exp2syn 1.7 AMPA_ExcToExc.json
127 node_type_id=='341442651' * exp2syn 1.7 AMPA_ExcToInh.json
128 node_type_id=='471077468' * exp2syn 1.7 AMPA_ExcToInh.json
129 node_type_id=='484635029' * exp2syn 1.7 AMPA_ExcToInh.json
130 node_type_id=='488501071' * exp2syn 1.7 AMPA_ExcToInh.json
