edge_type_id target_query source_query dynamics_params model_template delay
100 node_type_id=='471129934' * AMPA_ExcToExc.json exp2syn 1.7
101 node_type_id=='471143169' * AMPA_ExcToExc.json exp2syn 1.7
102 node_type_id=='471758398' * AMPA_ExcToExc.json exp2syn 1.7
103 node_type_id=='471767045' * AMPA_ExcToExc.json exp2syn 1.7
104 node_type_id=='485574832' * AMPA_ExcToExc.json exp2syn 1.7
105 node_type_id=='485835055' * AMPA_ExcToExc.json exp2syn 1.7
106 node_type_id=='485880739' * AMPA_ExcToExc.json exp2syn 1.7
107 node_type_id=='486052980' * AMPA_ExcToExc.json exp2syn 1.7
108 node_type_id=='486110216' * AMPA_ExcToExc.json exp2syn 1.7
109 node_type_id=='487664663' * AMPA_ExcToExc.json exp2syn 1.7
110 node_type_id=='485912047' * AMPA_ExcToExc.json exp2syn 1.7
111 node_type_id=='487661754' * AMPA_ExcToExc.json exp2syn 1.7
112 node_type_id=='321708130' * AMPA_ExcToInh.json exp2syn 1.7
113 node_type_id=='466245544' * AMPA_ExcToInh.json exp2syn 1.7
114 node_type_id=='471087830' * AMPA_ExcToInh.json exp2syn 1.7
115 node_type_id=='475888653' * AMPA_ExcToInh.json exp2syn 1.7
116 node_type_id=='478058328' * AMPA_ExcToInh.json exp2syn 1.7
117 node_type_id=='478828646' * AMPA_ExcToInh.json exp2syn 1.7
118 node_type_id=='313862022' * AMPA_ExcToExc.json exp2syn 1.7
119 node_type_id=='314900022' * AMPA_ExcToExc.json exp2syn 1.7
120 node_type_id=='320668879' * AMPA_ExcToExc.json exp2syn 1.7
121 node_type_id=='324521027' * AMPA_ExcToExc.json exp2syn 1.7
122 node_type_id=='348592897' * AMPA_ExcToExc.json exp2syn 1.7
123 node_type_id=='395830185' * AMPA_ExcToExc.json exp2syn 1.7
124 node_type_id=='469798159' * AMPA_ExcToExc.json exp2syn 1.7
125 node_type_id=='476126528' * AMPA_ExcToExc.json exp2syn 1.7
126 node_type_id=='476218657' * AMPA_ExcToExc.json exp2syn 1.7
127 node_type_id=='341442651' * AMPA_ExcToInh.json exp2syn 1.7
128 node_type_id=='471077468' * AMPA_ExcToInh.json exp2syn 1.7
129 node_type_id=='484635029' * AMPA_ExcToInh.json exp2syn 1.7
130 node_type_id=='488501071' * AMPA_ExcToInh.json exp2syn 1.7
131 node_type_id=='477135941' * AMPA_ExcToExc.json exp2syn 1.7
132 node_type_id=='483061182' * AMPA_ExcToExc.json exp2syn 1.7
133 node_type_id=='485574721' * AMPA_ExcToExc.json exp2syn 1.7
134 node_type_id=='485909730' * AMPA_ExcToExc.json exp2syn 1.7
135 node_type_id=='486146717' * AMPA_ExcToExc.json exp2syn 1.7
136 node_type_id=='487601493' * AMPA_ExcToExc.json exp2syn 1.7
137 node_type_id=='313861608' * AMPA_ExcToInh.json exp2syn 1.7
138 node_type_id=='321023397' * AMPA_ExcToInh.json exp2syn 1.7
139 node_type_id=='330080937' * AMPA_ExcToInh.json exp2syn 1.7
140 node_type_id=='333785962' * AMPA_ExcToInh.json exp2syn 1.7
141 node_type_id=='396608557' * AMPA_ExcToInh.json exp2syn 1.7
142 node_type_id=='469610831' * AMPA_ExcToInh.json exp2syn 1.7
143 node_type_id=='471077857' * AMPA_ExcToInh.json exp2syn 1.7
144 node_type_id=='471085676' * AMPA_ExcToInh.json exp2syn 1.7
145 node_type_id=='478793814' * AMPA_ExcToInh.json exp2syn 1.7
