edge_type_id target_query source_query model_template delay dynamics_params
142 node_type_id=='471129934' pop_name=='e5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
143 node_type_id=='471143169' pop_name=='e5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
144 node_type_id=='471758398' pop_name=='e5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
145 node_type_id=='471767045' pop_name=='e5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
146 node_type_id=='485574832' pop_name=='e5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
147 node_type_id=='485835055' pop_name=='e5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
148 node_type_id=='485880739' pop_name=='e5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
149 node_type_id=='486052980' pop_name=='e5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
150 node_type_id=='486110216' pop_name=='e5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
151 node_type_id=='487664663' pop_name=='e5Rbp4' exp2syn 1.5 AMPA_ExcToExc.json
152 node_type_id=='471129934' pop_name=='e23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
153 node_type_id=='471143169' pop_name=='e23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
154 node_type_id=='471758398' pop_name=='e23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
155 node_type_id=='471767045' pop_name=='e23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
156 node_type_id=='485574832' pop_name=='e23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
157 node_type_id=='485835055' pop_name=='e23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
158 node_type_id=='485880739' pop_name=='e23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
159 node_type_id=='486052980' pop_name=='e23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
160 node_type_id=='486110216' pop_name=='e23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
161 node_type_id=='487664663' pop_name=='e23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
162 node_type_id=='471129934' pop_name=='i6Pvalb' exp2syn 0.9 GABA_InhToExc.json
163 node_type_id=='471143169' pop_name=='i6Pvalb' exp2syn 0.9 GABA_InhToExc.json
164 node_type_id=='471758398' pop_name=='i6Pvalb' exp2syn 0.9 GABA_InhToExc.json
165 node_type_id=='471767045' pop_name=='i6Pvalb' exp2syn 0.9 GABA_InhToExc.json
166 node_type_id=='485574832' pop_name=='i6Pvalb' exp2syn 0.9 GABA_InhToExc.json
167 node_type_id=='485835055' pop_name=='i6Pvalb' exp2syn 0.9 GABA_InhToExc.json
168 node_type_id=='485880739' pop_name=='i6Pvalb' exp2syn 0.9 GABA_InhToExc.json
169 node_type_id=='486052980' pop_name=='i6Pvalb' exp2syn 0.9 GABA_InhToExc.json
170 node_type_id=='486110216' pop_name=='i6Pvalb' exp2syn 0.9 GABA_InhToExc.json
171 node_type_id=='487664663' pop_name=='i6Pvalb' exp2syn 0.9 GABA_InhToExc.json
172 node_type_id=='471129934' pop_name=='e4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
173 node_type_id=='471143169' pop_name=='e4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
174 node_type_id=='471758398' pop_name=='e4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
175 node_type_id=='471767045' pop_name=='e4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
176 node_type_id=='485574832' pop_name=='e4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
177 node_type_id=='485835055' pop_name=='e4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
178 node_type_id=='485880739' pop_name=='e4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
179 node_type_id=='486052980' pop_name=='e4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
