edge_type_id target_query source_query model_template dynamics_params delay
6580 node_type_id=='471129934' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6581 node_type_id=='471143169' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6582 node_type_id=='471758398' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6583 node_type_id=='471767045' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6584 node_type_id=='485574832' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6585 node_type_id=='485835055' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6586 node_type_id=='485880739' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6587 node_type_id=='486052980' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6588 node_type_id=='486110216' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6589 node_type_id=='487664663' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6591 node_type_id=='487661754' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6592 node_type_id=='321708130' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6594 node_type_id=='471087830' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6596 node_type_id=='478058328' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6597 node_type_id=='478828646' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6599 node_type_id=='314900022' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6602 node_type_id=='348592897' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6603 node_type_id=='395830185' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6604 node_type_id=='469798159' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6605 node_type_id=='476126528' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6606 node_type_id=='476218657' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6607 node_type_id=='341442651' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6609 node_type_id=='484635029' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6610 node_type_id=='488501071' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6611 node_type_id=='477135941' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6612 node_type_id=='483061182' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6614 node_type_id=='485909730' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6615 node_type_id=='486146717' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6616 node_type_id=='487601493' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6617 node_type_id=='313861608' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6618 node_type_id=='321023397' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6620 node_type_id=='333785962' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6621 node_type_id=='396608557' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6622 node_type_id=='469610831' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6623 node_type_id=='471077857' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6624 node_type_id=='471085676' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6625 node_type_id=='478793814' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6628 node_type_id=='486783119' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6630 node_type_id=='333604946' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6631 node_type_id=='487667205' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6632 node_type_id=='314642645' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6633 node_type_id=='324025371' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6634 node_type_id=='329550137' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6635 node_type_id=='473020156' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6636 node_type_id=='476616076' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6637 node_type_id=='479179020' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6638 node_type_id=='480087928' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6639 node_type_id=='480124551' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6641 node_type_id=='484679812' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6642 node_type_id=='485836906' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6643 node_type_id=='486502127' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6644 node_type_id=='474626527' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6645 node_type_id=='313862167' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6646 node_type_id=='473016550' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6648 node_type_id=='318733871' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6649 node_type_id=='318808427' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6651 node_type_id=='370351753' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6652 node_type_id=='386049446' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6653 node_type_id=='397351623' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6654 node_type_id=='422738880' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6655 node_type_id=='475459689' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6656 node_type_id=='476455864' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6657 node_type_id=='476457450' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6658 node_type_id=='314804042' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6660 node_type_id=='314831019' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6661 node_type_id=='320207387' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6662 node_type_id=='323865917' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6663 node_type_id=='324025297' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6664 node_type_id=='349621141' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6665 node_type_id=='354190013' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6666 node_type_id=='468120757' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6667 node_type_id=='468193142' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6668 node_type_id=='469793303' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6669 node_type_id=='473601979' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6670 node_type_id=='476048909' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6672 node_type_id=='476131588' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6674 node_type_id=='480116737' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6675 node_type_id=='480169178' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6676 node_type_id=='480351780' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6677 node_type_id=='480353286' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6678 node_type_id=='466632464' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6679 node_type_id=='471410185' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6680 node_type_id=='471786879' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6681 node_type_id=='471789504' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6682 node_type_id=='471819401' location=='LGN' exp2syn AMPA_ExcToExc.json 1.7
6739 node_type_id=='475585413' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
6740 node_type_id=='478107198' location=='LGN' exp2syn AMPA_ExcToInh.json 1.7
