node_type_id,coords_segx0,coords_segx0.5,coords_segx1
486110216,[-316.96974531  559.69064301 -120.1334964 ],[-312.87169171  563.12464781 -121.73276235],[-308.77363811  566.55865262 -123.33202831]
486052980,[ 14.4495553  584.43894878 178.06742433],[ 11.1767999  586.61792489 174.02391318],[  7.90404449 588.79690099 169.98040203]
485880739,[156.27760033 529.14669262 281.18967494],[153.94527048 526.44648082 277.00366556],[151.61294062 523.74626903 272.81765618]
471143169,[-27.31522808 447.27938467 296.50282995],[-24.70795767 448.09819527 293.52150298],[-22.10068727 448.91700586 290.54017601]
485574832,[ 70.87408305 582.58606249  -4.94727744],[ 67.28836896 584.2918331   -4.37539319],[ 63.70265486 585.99760371  -3.80350895]
487661754,[199.14384038 288.89198124 225.88975155],[198.15121683 287.17761041 229.67684446],[197.15859328 285.46323957 233.46393737]
476126528,[-187.47535044  321.11427572 -281.27769462],[-189.52490811  323.62450903 -279.0101738 ],[-191.57446578  326.13474234 -276.74265298]
314900022,[-282.01537865  366.70812847 -193.7794782 ],[-280.43651007  368.42697788 -189.76148748],[-278.8576415   370.1458273  -185.74349677]
476218657,[-152.23496826  422.83383213   46.16648677],[-153.81073052  425.39702845   43.59926911],[-155.38649277  427.96022478   41.03205145]
469798159,[ -47.49164148  356.63546337 -351.21252319],[ -45.39342638  355.05270971 -348.07187536],[ -43.29521129  353.46995604 -344.93122754]
348592897,[-236.99628885  354.88108417 -128.48119458],[-234.99089151  353.16137408 -124.31046766],[-232.98549417  351.441664   -120.13974075]
488501071,[-198.6537937   172.41861503  235.84646416],[-196.57264334  174.50707845  239.11718544],[-194.49149297  176.59554187  242.38790672]
475622793,[ 92.54083343 286.92277855  -9.24994562],[ 97.23414311 287.01464839 -11.71237304],[101.92745279 287.10651824 -14.17480047]
464188580,[  62.26548716  268.7247592  -156.3268939 ],[  62.68668435  271.40719723 -153.56356893],[  63.10788155  274.08963526 -150.80024395]
327962063,[ 55.15067545 144.85082947 121.38205256],[ 52.04945749 146.13647345 120.96300291],[ 48.94823954 147.42211743 120.54395325]
