edge_type_id target_query source_query model_template dynamics_params delay
142 node_type_id=='471129934' pop_name=='e5Rbp4' exp2syn AMPA_ExcToExc.json 1.5
143 node_type_id=='471143169' pop_name=='e5Rbp4' exp2syn AMPA_ExcToExc.json 1.5
144 node_type_id=='471758398' pop_name=='e5Rbp4' exp2syn AMPA_ExcToExc.json 1.5
145 node_type_id=='471767045' pop_name=='e5Rbp4' exp2syn AMPA_ExcToExc.json 1.5
146 node_type_id=='485574832' pop_name=='e5Rbp4' exp2syn AMPA_ExcToExc.json 1.5
147 node_type_id=='485835055' pop_name=='e5Rbp4' exp2syn AMPA_ExcToExc.json 1.5
148 node_type_id=='485880739' pop_name=='e5Rbp4' exp2syn AMPA_ExcToExc.json 1.5
149 node_type_id=='486052980' pop_name=='e5Rbp4' exp2syn AMPA_ExcToExc.json 1.5
150 node_type_id=='486110216' pop_name=='e5Rbp4' exp2syn AMPA_ExcToExc.json 1.5
151 node_type_id=='487664663' pop_name=='e5Rbp4' exp2syn AMPA_ExcToExc.json 1.5
152 node_type_id=='471129934' pop_name=='e23Cux2' exp2syn AMPA_ExcToExc.json 1.8
153 node_type_id=='471143169' pop_name=='e23Cux2' exp2syn AMPA_ExcToExc.json 1.8
154 node_type_id=='471758398' pop_name=='e23Cux2' exp2syn AMPA_ExcToExc.json 1.8
155 node_type_id=='471767045' pop_name=='e23Cux2' exp2syn AMPA_ExcToExc.json 1.8
156 node_type_id=='485574832' pop_name=='e23Cux2' exp2syn AMPA_ExcToExc.json 1.8
157 node_type_id=='485835055' pop_name=='e23Cux2' exp2syn AMPA_ExcToExc.json 1.8
158 node_type_id=='485880739' pop_name=='e23Cux2' exp2syn AMPA_ExcToExc.json 1.8
159 node_type_id=='486052980' pop_name=='e23Cux2' exp2syn AMPA_ExcToExc.json 1.8
160 node_type_id=='486110216' pop_name=='e23Cux2' exp2syn AMPA_ExcToExc.json 1.8
161 node_type_id=='487664663' pop_name=='e23Cux2' exp2syn AMPA_ExcToExc.json 1.8
162 node_type_id=='471129934' pop_name=='i6Pvalb' exp2syn GABA_InhToExc.json 0.9
163 node_type_id=='471143169' pop_name=='i6Pvalb' exp2syn GABA_InhToExc.json 0.9
164 node_type_id=='471758398' pop_name=='i6Pvalb' exp2syn GABA_InhToExc.json 0.9
165 node_type_id=='471767045' pop_name=='i6Pvalb' exp2syn GABA_InhToExc.json 0.9
166 node_type_id=='485574832' pop_name=='i6Pvalb' exp2syn GABA_InhToExc.json 0.9
167 node_type_id=='485835055' pop_name=='i6Pvalb' exp2syn GABA_InhToExc.json 0.9
168 node_type_id=='485880739' pop_name=='i6Pvalb' exp2syn GABA_InhToExc.json 0.9
169 node_type_id=='486052980' pop_name=='i6Pvalb' exp2syn GABA_InhToExc.json 0.9
170 node_type_id=='486110216' pop_name=='i6Pvalb' exp2syn GABA_InhToExc.json 0.9
171 node_type_id=='487664663' pop_name=='i6Pvalb' exp2syn GABA_InhToExc.json 0.9
172 node_type_id=='471129934' pop_name=='e4Scnn1a' exp2syn AMPA_ExcToExc.json 1.5
173 node_type_id=='471143169' pop_name=='e4Scnn1a' exp2syn AMPA_ExcToExc.json 1.5
174 node_type_id=='471758398' pop_name=='e4Scnn1a' exp2syn AMPA_ExcToExc.json 1.5
175 node_type_id=='471767045' pop_name=='e4Scnn1a' exp2syn AMPA_ExcToExc.json 1.5
176 node_type_id=='485574832' pop_name=='e4Scnn1a' exp2syn AMPA_ExcToExc.json 1.5
177 node_type_id=='485835055' pop_name=='e4Scnn1a' exp2syn AMPA_ExcToExc.json 1.5
178 node_type_id=='485880739' pop_name=='e4Scnn1a' exp2syn AMPA_ExcToExc.json 1.5
179 node_type_id=='486052980' pop_name=='e4Scnn1a' exp2syn AMPA_ExcToExc.json 1.5
180 node_type_id=='486110216' pop_name=='e4Scnn1a' exp2syn AMPA_ExcToExc.json 1.5
181 node_type_id=='487664663' pop_name=='e4Scnn1a' exp2syn AMPA_ExcToExc.json 1.5
182 node_type_id=='471129934' pop_name=='i23Pvalb' exp2syn GABA_InhToExc.json 0.9
183 node_type_id=='471143169' pop_name=='i23Pvalb' exp2syn GABA_InhToExc.json 0.9
184 node_type_id=='471758398' pop_name=='i23Pvalb' exp2syn GABA_InhToExc.json 0.9
185 node_type_id=='471767045' pop_name=='i23Pvalb' exp2syn GABA_InhToExc.json 0.9
186 node_type_id=='485574832' pop_name=='i23Pvalb' exp2syn GABA_InhToExc.json 0.9
187 node_type_id=='485835055' pop_name=='i23Pvalb' exp2syn GABA_InhToExc.json 0.9
188 node_type_id=='485880739' pop_name=='i23Pvalb' exp2syn GABA_InhToExc.json 0.9
189 node_type_id=='486052980' pop_name=='i23Pvalb' exp2syn GABA_InhToExc.json 0.9
190 node_type_id=='486110216' pop_name=='i23Pvalb' exp2syn GABA_InhToExc.json 0.9
191 node_type_id=='487664663' pop_name=='i23Pvalb' exp2syn GABA_InhToExc.json 0.9
192 node_type_id=='471129934' pop_name=='e4other' exp2syn AMPA_ExcToExc.json 1.5
193 node_type_id=='471143169' pop_name=='e4other' exp2syn AMPA_ExcToExc.json 1.5
194 node_type_id=='471758398' pop_name=='e4other' exp2syn AMPA_ExcToExc.json 1.5
195 node_type_id=='471767045' pop_name=='e4other' exp2syn AMPA_ExcToExc.json 1.5
196 node_type_id=='485574832' pop_name=='e4other' exp2syn AMPA_ExcToExc.json 1.5
197 node_type_id=='485835055' pop_name=='e4other' exp2syn AMPA_ExcToExc.json 1.5
198 node_type_id=='485880739' pop_name=='e4other' exp2syn AMPA_ExcToExc.json 1.5
199 node_type_id=='486052980' pop_name=='e4other' exp2syn AMPA_ExcToExc.json 1.5
200 node_type_id=='486110216' pop_name=='e4other' exp2syn AMPA_ExcToExc.json 1.5
201 node_type_id=='487664663' pop_name=='e4other' exp2syn AMPA_ExcToExc.json 1.5
202 node_type_id=='471129934' pop_name=='i5Pvalb' exp2syn GABA_InhToExc.json 0.9
203 node_type_id=='471143169' pop_name=='i5Pvalb' exp2syn GABA_InhToExc.json 0.9
204 node_type_id=='471758398' pop_name=='i5Pvalb' exp2syn GABA_InhToExc.json 0.9
205 node_type_id=='471767045' pop_name=='i5Pvalb' exp2syn GABA_InhToExc.json 0.9
206 node_type_id=='485574832' pop_name=='i5Pvalb' exp2syn GABA_InhToExc.json 0.9
207 node_type_id=='485835055' pop_name=='i5Pvalb' exp2syn GABA_InhToExc.json 0.9
208 node_type_id=='485880739' pop_name=='i5Pvalb' exp2syn GABA_InhToExc.json 0.9
209 node_type_id=='486052980' pop_name=='i5Pvalb' exp2syn GABA_InhToExc.json 0.9
210 node_type_id=='486110216' pop_name=='i5Pvalb' exp2syn GABA_InhToExc.json 0.9
211 node_type_id=='487664663' pop_name=='i5Pvalb' exp2syn GABA_InhToExc.json 0.9
212 node_type_id=='471129934' pop_name=='i4Pvalb' exp2syn GABA_InhToExc.json 0.9
213 node_type_id=='471143169' pop_name=='i4Pvalb' exp2syn GABA_InhToExc.json 0.9
214 node_type_id=='471758398' pop_name=='i4Pvalb' exp2syn GABA_InhToExc.json 0.9
215 node_type_id=='471767045' pop_name=='i4Pvalb' exp2syn GABA_InhToExc.json 0.9
216 node_type_id=='485574832' pop_name=='i4Pvalb' exp2syn GABA_InhToExc.json 0.9
217 node_type_id=='485835055' pop_name=='i4Pvalb' exp2syn GABA_InhToExc.json 0.9
218 node_type_id=='485880739' pop_name=='i4Pvalb' exp2syn GABA_InhToExc.json 0.9
219 node_type_id=='486052980' pop_name=='i4Pvalb' exp2syn GABA_InhToExc.json 0.9
220 node_type_id=='486110216' pop_name=='i4Pvalb' exp2syn GABA_InhToExc.json 0.9
221 node_type_id=='487664663' pop_name=='i4Pvalb' exp2syn GABA_InhToExc.json 0.9
222 node_type_id=='471129934' pop_name=='e4Rorb' exp2syn AMPA_ExcToExc.json 1.5
223 node_type_id=='471129934' pop_name=='LIFe4Rorb' exp2syn AMPA_ExcToExc.json 1.5
224 node_type_id=='471143169' pop_name=='e4Rorb' exp2syn AMPA_ExcToExc.json 1.5
225 node_type_id=='471758398' pop_name=='e4Rorb' exp2syn AMPA_ExcToExc.json 1.5
226 node_type_id=='471767045' pop_name=='e4Rorb' exp2syn AMPA_ExcToExc.json 1.5
227 node_type_id=='471767045' pop_name=='LIFe4Rorb' exp2syn AMPA_ExcToExc.json 1.5
228 node_type_id=='485574832' pop_name=='e4Rorb' exp2syn AMPA_ExcToExc.json 1.5
229 node_type_id=='485574832' pop_name=='LIFe4Rorb' exp2syn AMPA_ExcToExc.json 1.5
230 node_type_id=='485835055' pop_name=='e4Rorb' exp2syn AMPA_ExcToExc.json 1.5
231 node_type_id=='485835055' pop_name=='LIFe4Rorb' exp2syn AMPA_ExcToExc.json 1.5
232 node_type_id=='485880739' pop_name=='e4Rorb' exp2syn AMPA_ExcToExc.json 1.5
233 node_type_id=='485880739' pop_name=='LIFe4Rorb' exp2syn AMPA_ExcToExc.json 1.5
234 node_type_id=='486052980' pop_name=='e4Rorb' exp2syn AMPA_ExcToExc.json 1.5
235 node_type_id=='486052980' pop_name=='LIFe4Rorb' exp2syn AMPA_ExcToExc.json 1.5
236 node_type_id=='486110216' pop_name=='e4Rorb' exp2syn AMPA_ExcToExc.json 1.5
237 node_type_id=='487664663' pop_name=='e4Rorb' exp2syn AMPA_ExcToExc.json 1.5
238 node_type_id=='487664663' pop_name=='LIFe4Rorb' exp2syn AMPA_ExcToExc.json 1.5
239 node_type_id=='471129934' pop_name=='i4Sst' exp2syn GABA_InhToExc.json 1.5
240 node_type_id=='471758398' pop_name=='i4Sst' exp2syn GABA_InhToExc.json 1.5
241 node_type_id=='471767045' pop_name=='i4Sst' exp2syn GABA_InhToExc.json 1.5
