timestamps population node_ids
110.2250000001165 v1 2
1274.0750000025437 v1 358
1292.575000002611 v1 358
1305.1500000026567 v1 358
1326.125000002733 v1 358
1348.5500000028146 v1 358
1360.7000000028588 v1 358
1083.2000000018493 v1 358
1369.5000000028908 v1 358
1451.0250000031874 v1 358
1477.575000003284 v1 358
1481.0750000032967 v1 373
1714.250000004145 v1 1
1902.50000000483 v1 1
1907.9750000048496 v1 1
1431.8750000031175 v1 358
1048.9750000017248 v1 358
1021.300000001624 v1 358
1003.0000000015576 v1 358
1047.4250000017191 v1 355
1344.5750000028002 v1 355
1353.025000002831 v1 355
1361.4250000028617 v1 355
1428.925000003107 v1 355
1445.0250000031656 v1 355
1449.3750000031814 v1 355
1481.6250000032987 v1 355
1047.925000001721 v1 356
1085.1250000018565 v1 356
1303.7000000026514 v1 356
1373.3500000029048 v1 356
1421.6250000030805 v1 356
1465.0750000032383 v1 356
1497.1750000033553 v1 356
1790.750000004423 v1 2
1512.3000000034103 v1 3
1655.15000000393 v1 3
1883.575000004761 v1 3
1658.4000000039418 v1 66
1739.000000004235 v1 67
1511.125000003406 v1 68
1832.150000004574 v1 68
1528.125000003468 v1 70
1830.0750000045664 v1 101
1606.1750000037518 v1 102
1821.200000004534 v1 118
1548.6000000035424 v1 131
1998.72500000518 v1 134
1555.825000003569 v1 145
1900.9750000048243 v1 147
1555.8750000035689 v1 148
1744.450000004255 v1 155
1803.6750000044703 v1 155
1678.4000000040146 v1 63
1033.1500000016672 v1 355
1899.72500000482 v1 56
1888.425000004779 v1 43
1569.350000003618 v1 5
1776.0250000043698 v1 5
1946.7250000049908 v1 5
1731.600000004208 v1 6
1761.800000004318 v1 6
1898.2750000048145 v1 6
1737.325000004229 v1 9
1517.150000003428 v1 10
1839.1500000045992 v1 10
1798.9750000044532 v1 27
1891.6000000047904 v1 27
1759.5000000043096 v1 39
1878.5500000047427 v1 42
1746.6000000042627 v1 43
1804.400000004473 v1 43
1555.125000003566 v1 56
1841.450000004608 v1 155
1023.1500000016308 v1 355
1182.075000002209 v1 343
1094.975000001892 v1 218
1367.7750000028846 v1 218
1429.3750000031089 v1 218
1114.6500000019637 v1 220
1185.900000002223 v1 222
1442.2250000031554 v1 226
1463.525000003233 v1 215
1174.925000002183 v1 235
1060.0750000017651 v1 237
1364.025000002871 v1 248
1245.6500000024405 v1 253
1359.2250000028534 v1 253
1339.1000000027802 v1 254
1047.7750000017204 v1 258
1275.9250000025504 v1 236
1354.1000000028348 v1 214
1267.2250000025188 v1 214
1230.5250000023852 v1 214
1301.1500000026422 v1 195
1055.8500000017498 v1 197
1486.0250000033147 v1 197
1278.7000000025605 v1 201
1345.5500000028037 v1 201
1485.7750000033138 v1 202
1487.0750000033186 v1 205
1376.9000000029175 v1 206
1319.9500000027106 v1 208
1368.425000002887 v1 208
1416.00000000306 v1 208
1089.0750000018706 v1 210
1374.3000000029083 v1 211
1452.4500000031926 v1 211
1434.7750000031283 v1 213
1332.0000000027544 v1 260
1045.450000001712 v1 261
1090.9000000018773 v1 261
1205.1250000022928 v1 261
1257.8000000024845 v1 328
1290.9000000026049 v1 328
1333.1500000027586 v1 329
1431.925000003118 v1 329
1487.9000000033216 v1 329
1081.1000000018416 v1 339
1099.050000001907 v1 339
1199.2750000022716 v1 339
1263.1250000025038 v1 339
1309.4750000026725 v1 339
1392.350000002974 v1 339
1020.6000000016217 v1 340
1095.1250000018929 v1 340
1197.9500000022667 v1 340
1374.4500000029088 v1 342
1104.6000000019271 v1 328
1296.175000002624 v1 346
1337.8750000027758 v1 327
1465.8250000032413 v1 326
1460.2250000032209 v1 261
1492.5000000033383 v1 261
1087.6750000018656 v1 262
1462.5250000032293 v1 262
1031.1250000016598 v1 263
1346.150000002806 v1 263
1421.4500000030798 v1 263
1346.200000002806 v1 266
1401.9250000030088 v1 266
1426.9750000031 v1 266
1492.700000003339 v1 266
1172.2250000021731 v1 295
1313.0250000026854 v1 295
1202.175000002282 v1 325
1445.3000000031666 v1 325
1299.725000002637 v1 327
1970.8750000050784 v1 156
1532.575000003484 v1 158
1584.6750000036736 v1 158
1743.675000004252 v1 262
1670.1000000039844 v1 263
1720.1500000041665 v1 263
1820.5250000045316 v1 263
1586.8000000036814 v1 295
1647.750000003903 v1 325
1717.1250000041557 v1 262
1779.975000004384 v1 325
1794.7250000044378 v1 327
1838.8250000045985 v1 327
1562.1250000035916 v1 328
1673.325000003996 v1 328
1827.3250000045564 v1 328
1940.0000000049663 v1 329
1909.6000000048557 v1 325
1642.7250000038848 v1 262
1554.3000000035631 v1 262
1978.0500000051047 v1 261
1700.9250000040963 v1 228
1812.2750000045016 v1 234
1519.2250000034355 v1 237
1888.6000000047793 v1 246
1995.1250000051668 v1 246
1917.8000000048855 v1 248
1737.2000000042283 v1 253
1909.3250000048547 v1 253
1870.5500000047136 v1 254
1895.675000004805 v1 254
1892.650000004794 v1 257
1552.2000000035555 v1 258
1931.700000004936 v1 258
1909.150000004854 v1 261
1939.7750000049657 v1 261
1564.5000000036002 v1 339
1642.8750000038854 v1 339
1708.450000004124 v1 339
1786.350000004407 v1 339
1715.8500000041508 v1 356
1742.1000000042463 v1 356
1752.200000004283 v1 356
1826.2750000045528 v1 356
1978.900000005108 v1 356
1531.3750000034795 v1 358
1553.2250000035592 v1 358
1610.0000000037658 v1 358
1631.6250000038444 v1 358
1704.7750000041106 v1 358
1793.100000004432 v1 358
1831.625000004572 v1 358
1863.3000000046873 v1 358
1888.72500000478 v1 358
1958.5250000050337 v1 358
1615.200000003785 v1 356
1658.700000003943 v1 228
1565.7750000036049 v1 356
1990.3250000051496 v1 355
1563.150000003595 v1 340
1633.8000000038523 v1 343
1935.3250000049493 v1 343
1539.5750000035096 v1 344
1569.5500000036186 v1 346
1771.6000000043537 v1 352
1932.3000000049385 v1 352
1554.500000003564 v1 355
1630.7500000038413 v1 355
1696.4250000040802 v1 355
1773.1250000043592 v1 355
1826.100000004552 v1 355
1853.0000000046496 v1 355
1906.650000004845 v1 355
1982.0250000051192 v1 355
1528.125000003468 v1 356
1984.8500000051297 v1 218
1911.300000004862 v1 218
1870.925000004715 v1 218
1792.8000000044308 v1 180
1864.650000004692 v1 180
1533.8000000034883 v1 181
1607.6500000037572 v1 185
1565.7750000036049 v1 187
1909.2500000048544 v1 187
1608.1000000037589 v1 189
1678.3250000040143 v1 190
1836.4500000045896 v1 190
1541.075000003515 v1 191
1656.8750000039363 v1 191
1537.4500000035018 v1 192
1715.4250000041493 v1 192
1817.32500000452 v1 192
1939.100000004963 v1 193
1756.8250000043 v1 180
1551.4500000035528 v1 194
1698.4250000040877 v1 180
1584.3000000036725 v1 180
1615.525000003786 v1 159
1927.1750000049196 v1 160
1504.8250000033831 v1 162
1567.3750000036107 v1 162
1945.050000004985 v1 162
1516.3750000034252 v1 164
1517.6000000034296 v1 165
1568.0500000036131 v1 165
1999.1750000051816 v1 165
1607.1250000037553 v1 166
1958.8000000050347 v1 166
1535.1250000034934 v1 167
1603.9500000037438 v1 167
1986.0500000051336 v1 167
1647.750000003903 v1 170
1654.0000000039258 v1 180
1122.5500000019924 v1 195
1856.0000000046607 v1 194
1642.200000003883 v1 195
1801.1750000044613 v1 211
1880.52500000475 v1 211
1882.5250000047572 v1 212
1934.3750000049456 v1 212
1838.200000004596 v1 213
1665.7500000039686 v1 214
1520.750000003441 v1 215
1715.1500000041483 v1 215
1866.6250000046991 v1 215
1999.300000005182 v1 215
1514.5500000034183 v1 216
1590.3500000036945 v1 216
1653.7250000039248 v1 216
1824.8500000045472 v1 218
1844.4000000046185 v1 218
1993.3500000051604 v1 210
1908.2750000048509 v1 194
1861.7500000046816 v1 210
1928.325000004924 v1 209
1736.225000004225 v1 195
1940.5500000049683 v1 197
1974.850000005093 v1 197
1838.475000004597 v1 201
1886.850000004773 v1 201
1926.3500000049169 v1 201
1947.650000004994 v1 201
1541.5250000035169 v1 202
1565.7000000036046 v1 202
1570.0750000036203 v1 205
1814.1750000045083 v1 206
1899.77500000482 v1 207
1904.9750000048389 v1 208
1526.5500000034622 v1 209
1589.0000000036894 v1 209
1537.3500000035017 v1 210
1388.9250000029615 v1 194
1459.700000003219 v1 193
1213.8250000023245 v1 193
930.4750000012936 v1 134
616.4750000001513 v1 148
899.0250000011793 v1 159
606.6750000001157 v1 162
633.3750000002128 v1 162
601.3250000000962 v1 165
927.7250000012835 v1 118
630.6000000002027 v1 165
999.825000001546 v1 168
809.6500000008541 v1 175
641.0250000002407 v1 180
683.3500000003946 v1 180
739.4250000005986 v1 180
811.550000000861 v1 180
538.4749999998676 v1 167
836.5250000009519 v1 118
876.1250000010959 v1 117
862.675000001047 v1 113
813.6000000008685 v1 43
995.0250000015284 v1 43
865.9000000010587 v1 52
761.4000000006786 v1 56
806.325000000842 v1 56
850.2000000010016 v1 56
597.2250000000813 v1 63
982.0750000014814 v1 63
862.2250000010454 v1 66
764.1000000006884 v1 75
620.8250000001672 v1 96
763.4000000006858 v1 96
572.3249999999907 v1 102
697.9000000004476 v1 102
922.2500000012636 v1 102
897.8000000011748 v1 180
785.3500000007657 v1 181
598.6750000000866 v1 187
799.2500000008163 v1 187
855.5750000010212 v1 207
615.9500000001494 v1 209
961.7250000014074 v1 209
626.3250000001872 v1 210
927.000000001281 v1 210
891.6000000011522 v1 211
936.1500000013144 v1 212
867.4500000010644 v1 213
734.6000000005811 v1 214
873.4250000010861 v1 214
618.4500000001585 v1 215
746.1500000006231 v1 215
809.1250000008522 v1 215
893.6250000011596 v1 215
900.0250000011829 v1 218
792.0750000007902 v1 207
644.2000000002522 v1 43
583.3500000000308 v1 207
583.5000000000314 v1 205
945.675000001349 v1 187
724.8250000005455 v1 190
730.8000000005673 v1 190
910.7000000012216 v1 190
637.2500000002269 v1 191
746.2000000006233 v1 192
815.9000000008768 v1 192
603.9250000001057 v1 193
690.5750000004209 v1 193
879.175000001107 v1 194
947.7750000013566 v1 194
657.9500000003022 v1 195
970.3500000014388 v1 197
965.8000000014222 v1 201
621.7500000001705 v1 202
844.3500000009803 v1 206
935.0250000013102 v1 42
854.7750000010183 v1 42
791.7750000007891 v1 42
426.59999999984893 v1 180
498.6749999997834 v1 187
58.00000000010463 v1 191
140.17500000010943 v1 191
458.77499999981967 v1 194
266.2999999999947 v1 209
393.59999999987895 v1 209
317.0999999999485 v1 210
393.0999999998794 v1 210
497.29999999978463 v1 215
191.0000000000632 v1 218
464.5999999998144 v1 218
32.3750000000988 v1 263
483.624999999797 v1 266
478.6499999998016 v1 325
367.8499999999024 v1 180
149.75000000010073 v1 339
337.74999999992974 v1 180
117.87500000011823 v1 180
271.2749999999902 v1 2
320.949999999945 v1 2
114.97500000011756 v1 3
466.0249999998131 v1 5
475.8999999998041 v1 5
484.7499999997961 v1 5
98.15000000011376 v1 9
236.95000000002145 v1 9
364.924999999905 v1 9
487.6749999997934 v1 161
424.6749999998507 v1 162
259.7250000000007 v1 164
432.62499999984345 v1 167
497.5749999997844 v1 167
496.0999999997857 v1 175
219.95000000003688 v1 180
955.0500000013832 v1 218
105.92500000011552 v1 340
466.3749999998128 v1 340
883.2500000011219 v1 3
829.7500000009272 v1 5
850.1000000010013 v1 5
926.3500000012788 v1 5
802.475000000828 v1 9
883.1250000011214 v1 9
985.9500000014956 v1 9
875.7250000010945 v1 10
951.8000000013712 v1 10
889.1000000011431 v1 27
595.6750000000757 v1 33
854.150000001016 v1 34
565.3999999999655 v1 36
742.7250000006106 v1 39
610.7500000001305 v1 42
828.9750000009244 v1 3
397.5249999998754 v1 340
474.3749999998055 v1 358
297.29999999996653 v1 358
485.6749999997952 v1 343
271.9249999999896 v1 355
482.87499999979775 v1 355
144.25000000010573 v1 356
196.725000000058 v1 356
273.9999999999877 v1 356
287.7749999999752 v1 356
328.62499999993804 v1 356
363.9749999999059 v1 356
26.67500000009902 v1 358
42.22500000010104 v1 358
125.2250000001199 v1 358
183.05000000007044 v1 358
199.50000000005548 v1 358
256.47500000000366 v1 358
372.0999999998985 v1 358
1980.850000005115 v1 358
780.0500000007464 v1 219
772.8500000007202 v1 240
1264.6000000025092 v1 32
1440.0500000031475 v1 42
1253.0500000024672 v1 43
1176.575000002189 v1 52
1307.6000000026656 v1 56
1364.9500000028745 v1 68
1352.1750000028278 v1 27
1343.700000002797 v1 70
1375.7250000029137 v1 71
1225.1750000023658 v1 76
1102.5750000019198 v1 96
1355.000000002838 v1 118
1180.150000002202 v1 129
1094.0000000018886 v1 131
1474.4750000032727 v1 70
1365.6000000028766 v1 16
1381.8000000029356 v1 10
1375.4500000029125 v1 9
835.1000000009467 v1 358
871.1250000010778 v1 358
909.8750000012188 v1 358
932.7000000013018 v1 358
946.6750000013526 v1 358
962.1500000014088 v1 358
834.1750000009433 v1 370
1008.1500000015762 v1 1
1356.8250000028447 v1 1
1283.7250000025788 v1 2
1175.6000000021854 v1 3
1265.2250000025117 v1 3
1342.700000002793 v1 3
1007.9000000015752 v1 5
1345.7750000028043 v1 5
1488.575000003324 v1 134
1192.9250000022485 v1 155
1247.0000000024452 v1 155
1287.5000000025923 v1 155
1438.8500000031431 v1 168
1322.6000000027202 v1 179
1003.0750000015578 v1 180
1129.550000002018 v1 180
1242.8750000024302 v1 180
1302.450000002647 v1 180
1347.7250000028116 v1 180
1168.62500000216 v1 186
1093.550000001887 v1 187
1261.2000000024968 v1 189
1195.6500000022584 v1 190
1130.0750000020198 v1 191
1179.325000002199 v1 191
1196.8500000022627 v1 192
1137.4750000020467 v1 193
1388.2750000029591 v1 168
802.8250000008293 v1 358
1062.1250000017726 v1 168
1099.4250000019083 v1 166
1299.0750000026346 v1 155
1315.150000002693 v1 155
1361.2500000028608 v1 155
1441.9250000031543 v1 156
1018.7000000016146 v1 158
1051.800000001735 v1 158
1002.7500000015566 v1 159
1441.6750000031534 v1 159
1056.425000001752 v1 160
1351.950000002827 v1 160
1363.77500000287 v1 160
1025.0000000016375 v1 162
1117.8250000019752 v1 162
1107.1750000019365 v1 165
1481.3250000032976 v1 165
1492.9000000033398 v1 167
740.5000000006025 v1 358
589.0000000000514 v1 358
547.2499999998995 v1 358
834.625000000945 v1 263
903.7000000011964 v1 263
850.2500000010018 v1 266
873.2750000010856 v1 266
924.1750000012707 v1 266
639.5750000002354 v1 295
730.5250000005663 v1 295
533.4749999998494 v1 325
697.8000000004472 v1 325
773.4000000007222 v1 325
830.9250000009315 v1 325
844.800000000982 v1 327
665.4000000003293 v1 328
839.5000000009627 v1 328
601.4000000000965 v1 329
797.4500000008097 v1 263
618.2000000001576 v1 329
793.3750000007949 v1 262
976.4000000014609 v1 261
837.4750000009553 v1 240
844.9750000009826 v1 246
527.049999999826 v1 253
800.4500000008206 v1 253
820.3750000008931 v1 253
878.5250000011047 v1 253
910.9250000012224 v1 253
804.7000000008361 v1 254
843.5000000009773 v1 254
885.2750000011292 v1 254
638.650000000232 v1 258
788.8500000007784 v1 258
797.4750000008098 v1 258
845.5500000009847 v1 258
657.8500000003019 v1 260
984.8000000014912 v1 261
858.3250000010312 v1 238
932.800000001302 v1 329
635.8750000002219 v1 339
753.55000000065 v1 355
800.000000000819 v1 355
848.4500000009953 v1 355
855.2000000010198 v1 355
872.8000000010838 v1 355
884.0500000011248 v1 355
908.7500000012146 v1 355
922.7500000012656 v1 355
951.1500000013688 v1 355
541.0999999998771 v1 356
739.5750000005992 v1 356
821.3000000008965 v1 356
910.6500000012217 v1 356
960.1000000014014 v1 356
985.1750000014928 v1 356
731.9750000005715 v1 355
957.3500000013914 v1 329
590.4750000000568 v1 355
557.0249999999351 v1 355
735.1750000005832 v1 339
806.2250000008416 v1 339
869.8500000010731 v1 339
989.5500000015086 v1 339
540.1499999998737 v1 340
577.4500000000094 v1 340
743.3500000006129 v1 340
983.2250000014856 v1 340
559.1749999999429 v1 343
816.8750000008804 v1 343
949.3000000013622 v1 343
818.700000000887 v1 346
847.4500000009916 v1 346
969.625000001436 v1 346
547.2749999998996 v1 355
574.1999999999975 v1 355
1992.6250000051575 v1 358
