timestamps population node_ids
339.4249999999282 v1 4
1114.2750000019623 v1 225
1126.2250000020058 v1 225
1190.6750000022405 v1 225
1413.7250000030515 v1 225
1249.583541071315 v1 293
1005.1234547743504 v1 294
1069.4593904339015 v1 294
1003.67500000156 v1 225
1228.5649671674262 v1 294
1374.780851257844 v1 294
1458.5031026801828 v1 294
1473.1125951396343 v1 294
1528.8750000034706 v1 4
1658.200000003941 v1 4
1756.275000004298 v1 4
1551.743435930784 v1 11
1267.9895022976789 v1 294
1483.9500000033072 v1 223
1437.700000003139 v1 223
1386.0000000029509 v1 223
1091.8500000018807 v1 217
1012.3500000015916 v1 220
1023.7000000016328 v1 220
1039.2000000016892 v1 220
1062.9000000017754 v1 220
1264.4250000025086 v1 220
1414.050000003053 v1 220
1254.2250000024717 v1 221
1316.750000002699 v1 221
1397.6250000029931 v1 221
1415.0750000030566 v1 221
1056.1000000017507 v1 223
1091.67500000188 v1 223
1115.1250000019654 v1 223
1196.12500000226 v1 223
1258.7000000024875 v1 223
1335.1250000027658 v1 223
1540.1737356568597 v1 19
1263.9099116799546 v1 216
1775.548967858938 v1 19
1689.5568183628427 v1 27
1935.9500000049516 v1 88
1661.5750000039534 v1 89
1768.950000004344 v1 89
1795.32500000444 v1 89
1582.7000000036664 v1 93
1701.300000004098 v1 93
1741.200000004243 v1 93
1996.1250000051705 v1 87
1701.6892611797446 v1 98
1955.8721826449485 v1 98
1788.6526664984824 v1 102
1859.8048112908623 v1 102
1612.0500000037732 v1 103
1667.8500000039762 v1 103
1941.8750000049731 v1 103
1898.400000004815 v1 104
1854.7552105897105 v1 98
1816.4000000045169 v1 87
1573.500000003633 v1 87
1554.575000003564 v1 87
1830.4503233191788 v1 27
1572.6190784367166 v1 28
1706.9601764861357 v1 28
1613.1034179108983 v1 32
1778.9328444157682 v1 36
1773.2079601827224 v1 39
1530.8500000034778 v1 50
1526.200000003461 v1 52
1970.425000005077 v1 52
1897.775000004813 v1 54
1868.750000004707 v1 74
1917.100000004883 v1 74
1968.7000000050707 v1 74
1805.355331484876 v1 83
1536.2500000034977 v1 86
1564.150000003599 v1 86
1644.0750000038895 v1 86
1869.763425090149 v1 20
1539.125000003508 v1 109
1116.4459401096992 v1 216
1420.0750000030748 v1 208
1472.6729459069386 v1 157
1321.194036794088 v1 159
1190.3967894356451 v1 160
1398.921291387395 v1 160
1467.5034014233297 v1 160
1026.453481005048 v1 161
1052.4488613161795 v1 161
1441.6188037092525 v1 157
1440.995562961427 v1 161
1264.13300621242 v1 162
1303.1743452401467 v1 162
1350.735474831206 v1 162
1427.4290178865187 v1 162
1081.2468057515568 v1 163
1139.197405888515 v1 163
1283.6475374356112 v1 164
1224.259926019447 v1 162
1418.568280060678 v1 157
1344.827224896655 v1 157
1322.1729688994208 v1 157
1309.8650232883213 v1 151
1333.611274228626 v1 151
1395.3342739902807 v1 151
1416.0338430412112 v1 151
1429.281760662 v1 151
1462.1185757187798 v1 151
1344.4250000027996 v1 152
1361.1500000028605 v1 152
1441.6250000031532 v1 152
1486.950000003318 v1 152
1497.550000003357 v1 153
1066.003354596259 v1 157
1132.1297127787568 v1 157
1165.4448686655517 v1 157
1220.3486393637652 v1 157
1254.9374477676793 v1 157
1293.297950042032 v1 157
1177.7666357889227 v1 165
1455.2881094701172 v1 215
1016.2414610765528 v1 167
1073.301845041399 v1 167
1417.803029158736 v1 172
1430.64469483303 v1 172
1480.5959784436338 v1 172
1032.6190158065506 v1 174
1064.1836078111842 v1 174
1118.4551840497818 v1 174
1177.414386992947 v1 174
1385.7393679697304 v1 172
1246.887269872954 v1 174
1110.7045198620938 v1 175
1113.2000000019584 v1 187
1209.4250000023085 v1 187
1495.6000000033496 v1 187
1080.925000001841 v1 202
1150.7000000020948 v1 202
1355.7500000028408 v1 203
1426.1690269478229 v1 174
1353.109036660247 v1 172
1315.1209371020109 v1 172
1239.7842749660729 v1 172
1195.6175895711733 v1 167
1221.5875997265064 v1 167
1289.7241067923555 v1 167
1330.2614177335731 v1 167
1359.0146384728591 v1 167
1413.3590412246726 v1 167
1477.6047141688507 v1 167
1055.7614266416929 v1 170
1413.6939312775553 v1 170
1467.5339838845014 v1 170
1021.7642100164092 v1 171
1095.3042456960934 v1 171
1172.4503276513203 v1 171
1081.6324162579974 v1 172
1116.1848899302283 v1 172
1133.888764559659 v1 172
1169.9295939913998 v1 172
1039.911482710673 v1 167
1611.5000000037712 v1 109
1645.3500000038944 v1 109
1717.5000000041568 v1 109
1678.5799078791229 v1 172
1750.7425188503014 v1 172
1793.856083060172 v1 172
1831.3774378497724 v1 172
1848.1813973449523 v1 172
1888.5847022885785 v1 172
1944.0052180280657 v1 172
1556.368455723312 v1 172
1959.616640893919 v1 172
1856.0497820256253 v1 173
1608.5584660874665 v1 174
1653.1657188944448 v1 174
1581.200000003661 v1 187
1896.6500000048088 v1 187
1706.1082221341735 v1 192
1619.125000003799 v1 202
1675.6890737281026 v1 173
1536.3856781624966 v1 172
1535.4655862786185 v1 171
1923.4480703934307 v1 170
1848.956062472084 v1 162
1507.893387483991 v1 163
1661.968019251194 v1 163
1916.7119133260824 v1 163
1531.653200962042 v1 164
1648.897478345962 v1 165
1921.5902501780697 v1 166
1516.7023310904297 v1 167
1581.5904444588916 v1 167
1642.5295233733193 v1 167
1794.107712163013 v1 167
1818.8035111580932 v1 167
1882.4270025137464 v1 167
