timestamps population node_ids
11.660000000100425 v1 0
2139.690000023594 v1 0
2080.580000022304 v1 0
2044.7600000215225 v1 0
2012.820000020825 v1 0
1957.6300000196204 v1 1
1889.710000018138 v1 1
1957.9200000196267 v1 0
1928.200000018978 v1 0
1885.6600000180497 v1 0
1803.2000000162495 v1 0
1709.6600000142078 v1 1
1646.4600000128282 v1 1
1763.2500000153775 v1 0
1709.0900000141953 v1 0
1646.3700000128265 v1 0
1600.3500000118215 v1 0
1582.9400000114415 v1 1
1575.8700000112874 v1 0
1535.4800000104058 v1 0
1459.580000008749 v1 0
1421.9400000079274 v1 0
2179.4600000244623 v1 0
1360.6000000065883 v1 1
2078.2700000222535 v1 1
2231.0500000255884 v1 0
2945.3800000411807 v1 0
2914.980000040517 v1 0
2876.1600000396697 v1 0
2834.400000038758 v1 0
2721.500000036294 v1 1
2626.680000034224 v1 1
2778.1100000375295 v1 0
2719.860000036258 v1 0
2673.860000035254 v1 0
2615.49000003398 v1 0
2561.720000032806 v1 1
2520.8600000319143 v1 1
2561.620000032804 v1 0
2520.800000031913 v1 0
2476.7000000309504 v1 0
2424.190000029804 v1 0
2307.910000027266 v1 1
2209.2400000251123 v1 1
2375.8200000287484 v1 0
2320.7000000275452 v1 0
2276.760000026586 v1 0
2096.0900000226425 v1 1
1326.3700000058411 v1 1
1219.1600000035012 v1 1
1361.220000006602 v1 0
457.6499999997563 v1 0
412.06999999979774 v1 0
387.77999999981984 v1 1
310.7399999998899 v1 1
239.8199999999544 v1 1
229.239999999964 v1 1
367.769999999838 v1 0
309.7799999998908 v1 0
242.92999999995155 v1 0
231.93999999996151 v1 0
185.56000000000373 v1 1
127.6300000000564 v1 1
114.2400000000686 v1 1
83.5600000000965 v1 1
41.48000000010277 v1 1
14.120000000100807 v1 1
7.520000000099862 v1 1
186.18000000000316 v1 0
127.52000000005653 v1 0
94.28000000008674 v1 0
41.570000000102816 v1 0
486.9399999997297 v1 0
528.6699999996918 v1 0
564.4299999996592 v1 0
468.25999999974664 v1 1
1326.8500000058518 v1 0
1286.1900000049643 v1 0
1224.280000003613 v1 0
1174.6100000025287 v1 1
1127.0800000014913 v1 1
1175.3200000025442 v1 0
1129.410000001542 v1 0
1118.9500000013138 v1 0
1054.3699999999042 v1 0
948.24999999931 v1 1
2999.7600000423677 v1 0
853.9499999993959 v1 1
947.9299999993104 v1 0
905.8799999993488 v1 0
852.1299999993976 v1 0
818.8099999994279 v1 0
749.2799999994911 v1 1
682.8999999995515 v1 1
737.4499999995019 v1 0
683.8499999995506 v1 0
645.8199999995852 v1 0
558.8499999996643 v1 1
987.5499999992744 v1 0
2914.1800000404996 v1 1
