timestamps population node_ids
87.6200000000928 v1 0
1889.3900000181309 v1 8
1965.300000019788 v1 11
2054.250000021729 v1 0
2025.5300000211023 v1 5
2031.270000021228 v1 11
2055.0900000217475 v1 11
2230.290000025572 v1 4
2355.4000000283027 v1 4
2303.5400000271707 v1 8
1819.2400000165997 v1 4
2340.9200000279866 v1 8
2559.080000032749 v1 0
2536.790000032262 v1 4
2525.0300000320053 v1 5
2406.7600000294237 v1 6
2519.4900000318844 v1 8
2435.150000030043 v1 11
2625.5400000341992 v1 4
2947.65000004123 v1 0
2996.570000042298 v1 4
2459.690000030579 v1 0
1883.0900000179936 v1 2
1743.420000014945 v1 6
1688.8800000137542 v1 4
56.14000000011027 v1 8
404.3399999998048 v1 0
591.4399999996347 v1 4
593.0099999996332 v1 8
655.6199999995763 v1 0
765.4299999994764 v1 4
604.5599999996227 v1 6
756.2899999994847 v1 8
766.5899999994754 v1 8
957.209999999302 v1 0
827.2899999994202 v1 6
801.7899999994434 v1 8
821.6299999994253 v1 8
846.5099999994027 v1 8
944.9699999993132 v1 8
1067.47000000019 v1 0
1104.390000000996 v1 4
1136.5900000016989 v1 6
1395.2400000073446 v1 0
1568.4500000111254 v1 0
1530.0700000102877 v1 2
2972.190000041766 v1 6
2956.2800000414186 v1 8
