timestamps population node_ids
11.170000000100346 v1 0
1957.6300000196204 v1 1
1880.010000017926 v1 2
1888.9300000181208 v1 8
1965.300000019788 v1 11
2021.790000021021 v1 0
2054.1600000217272 v1 0
2138.8000000235747 v1 0
2189.580000024683 v1 0
1889.710000018138 v1 1
2078.2700000222535 v1 1
2037.8000000213704 v1 4
2025.4700000211012 v1 5
2084.370000022386 v1 6
2034.950000021308 v1 7
2073.940000022159 v1 7
2031.270000021228 v1 11
2055.0900000217475 v1 11
2233.2500000256364 v1 0
2096.0900000226425 v1 1
1995.3400000204435 v1 0
1956.060000019586 v1 0
1925.1600000189117 v1 0
1569.440000011147 v1 0
1589.1500000115773 v1 0
1582.9400000114415 v1 1
1529.7800000102814 v1 2
1481.3000000092231 v1 4
1482.170000009242 v1 7
1560.7900000109582 v1 7
1568.8100000111333 v1 8
1645.960000012817 v1 0
1714.4900000143132 v1 0
1783.800000015826 v1 0
1646.4600000128282 v1 1
1709.6600000142078 v1 1
1658.9400000131006 v1 4
1708.1400000141746 v1 4
1740.3500000148777 v1 6
1820.050000016617 v1 0
1859.4700000174776 v1 0
1890.9700000181656 v1 0
2267.450000026383 v1 0
1560.8800000109602 v1 0
2318.2900000274926 v1 0
2209.2400000251123 v1 1
2616.6600000340054 v1 0
2633.2500000343675 v1 0
2682.530000035443 v1 0
2726.6100000364054 v1 0
2789.2800000377733 v1 0
2626.680000034224 v1 1
2721.500000036294 v1 1
2610.940000033881 v1 4
2435.150000030043 v1 11
2628.3000000342595 v1 4
2862.830000039379 v1 0
2916.310000040546 v1 0
2940.6900000410783 v1 0
2976.780000041866 v1 0
2914.1800000404996 v1 1
2862.9200000393807 v1 4
2971.4900000417506 v1 6
2930.360000040853 v1 7
2835.620000038785 v1 0
2518.7600000318685 v1 8
2513.0300000317434 v1 7
2569.600000032978 v1 6
2307.910000027266 v1 1
2227.3800000255083 v1 4
2248.0000000259583 v1 4
2356.340000028323 v1 4
2352.440000028238 v1 7
2284.540000026756 v1 8
2304.360000027189 v1 8
2340.62000002798 v1 8
2422.080000029758 v1 0
2449.980000030367 v1 0
2474.84000003091 v1 0
2520.4500000319053 v1 0
2548.7200000325224 v1 0
2560.150000032772 v1 0
2520.8600000319143 v1 1
2561.720000032806 v1 1
2511.3000000317056 v1 2
2532.5100000321686 v1 4
2524.9400000320034 v1 5
2372.860000028684 v1 0
1503.910000009717 v1 0
1466.9400000089097 v1 0
1421.3500000079146 v1 0
242.419999999952 v1 7
261.6999999999345 v1 8
447.3599999997657 v1 0
479.0399999997368 v1 0
519.5999999997 v1 0
557.6699999996654 v1 0
590.1199999996359 v1 0
468.25999999974664 v1 1
387.77999999981984 v1 1
558.8499999996643 v1 1
527.7999999996925 v1 4
580.5499999996446 v1 4
565.4999999996583 v1 6
492.43999999972465 v1 7
592.7299999996335 v1 8
640.4099999995901 v1 0
662.4599999995701 v1 0
729.4899999995091 v1 0
575.3499999996493 v1 2
310.7399999998899 v1 1
239.8199999999544 v1 1
229.239999999964 v1 1
41.7400000001029 v1 0
77.66000000010186 v1 0
95.100000000086 v1 0
131.30000000005307 v1 0
187.5700000000019 v1 0
7.520000000099862 v1 1
14.120000000100807 v1 1
41.48000000010277 v1 1
83.5600000000965 v1 1
114.2400000000686 v1 1
127.6300000000564 v1 1
185.56000000000373 v1 1
53.240000000108786 v1 2
54.920000000109646 v1 8
203.8299999999871 v1 0
240.7799999999535 v1 0
311.13999999988954 v1 0
349.14999999985497 v1 0
395.9399999998124 v1 0
759.1399999994821 v1 0
682.8999999995515 v1 1
749.2799999994911 v1 1
638.7899999995916 v1 2
1127.290000001496 v1 0
1178.7700000026196 v1 0
1127.0800000014913 v1 1
1174.6100000025287 v1 1
1028.7399999993447 v1 2
1080.5500000004756 v1 4
1107.2100000010576 v1 4
1124.7200000014398 v1 6
1174.4300000025248 v1 7
1187.0400000028 v1 10
1253.2600000042455 v1 0
1325.7400000058276 v1 0
1342.6800000061974 v1 0
1374.2800000068871 v1 0
1388.8800000072058 v1 0
1219.1600000035012 v1 1
1326.3700000058411 v1 1
1360.6000000065883 v1 1
1362.1100000066217 v1 7
1079.610000000455 v1 0
2986.9800000420887 v1 7
1058.2699999999893 v1 0
945.079999999313 v1 8
756.6899999994844 v1 4
755.6199999994853 v1 8
765.889999999476 v1 8
824.109999999423 v1 0
854.2399999993956 v1 0
893.8499999993596 v1 0
919.669999999336 v1 0
947.369999999311 v1 0
969.5499999992908 v1 0
853.9499999993959 v1 1
948.24999999931 v1 1
940.5399999993172 v1 2
818.3399999994283 v1 6
853.869999999396 v1 7
873.639999999378 v1 7
801.6899999994434 v1 8
821.4799999994254 v1 8
846.2499999994029 v1 8
911.2099999993438 v1 8
1027.749999999323 v1 0
2955.9200000414107 v1 8
